start,end,text
267.34,272.8," We're serious things very serious endeavor and you should take us seriously. It's not kids play. We're not kids hobbies. We're we're. Yeah, I did"
272.8,274.8, Yeah
274.8,276.8, What do you even play in Luke?
276.8,284.56, I'm still fucking God of life. You were going to have been playing so much God of War that I did the unthinkable and actually shot Jeffy and know this week to be like
284.96000000000004,291.16," Yeah, wait, you kissed us and you kissed Jeffy. I told my liked his game. Oh wow. It's pretty awful"
291.56,292.56, Wow
292.56,299.86," Fan mail from some flounder. Yeah, but all the big like all the big news done to ask I feel about clown cars"
299.86,304.24, I felt like it'd be good to tell him when I thought of his game. That's two years old. You know what to the party now
304.24,305.74, I know why he cut his hair
305.74,310.66," Yeah, GDC's coming. He's kind of an overjazzy look. You have no you know a little bit"
311.38,317.26, Vice-aborted Jeffy white drink and have some like elephant features crafted over my simian like facade now
317.26,321.48, I'll be good to go. It's not that long past Valentine's day. He's still might be cranking out a little leave. That one time
322.22,326.32, I'm here number one fan so I haven't got the part of the game that everyone says is terrible
326.32,328.54, Which is like the spike climb when you're sitting there
328.54,330.54," Yeah, quite a few horror parts"
332.54,339.78000000000003, Climb the spike climb occurs in the context of like the template and hell version where it's you know floating platforms with red
340.3,344.98," crap beneath them. So like you can't have you went through that and then oh, but we okay"
344.98,349.92, So aside from I mean pushing crates while being beaten up on that sucks
350.08000000000004,354.66," But at the very end you get to a part supposed to be like the rad, you know, okay"
354.66,357.48," This is it, you know your fighting you're gonna fight yourself and stuff"
357.48,360.78000000000003, But there's like you're on another floating platform which totally made me laugh
360.78000000000003,368.56," I mean that was horrible and zen and half light, but like then there's like another little platform floating around like orbiting your floating platform with an archer on it"
368.56,371.56, Shooting an arrow at you as you're trying to fight yourself
371.82000000000005,373.82000000000005, It's I don't know
373.82000000000005,378.76000000000005, Play that play that shit and sit and and identify what's going on and tell me you think that's a little frustrating
378.86,382.62, Sounds like you weren't feeling it. I wasn't definitely not feeling it. What else did I play?
382.94,387.38," Oh, I got that I downloaded the agent packs for crackdown and looked at like the cobra commander scan"
387.38,392.94," You were loving that love. Yeah, yeah, the time it's there's no way the game the thing one of the things that"
392.94,397.82, Ear tastes me those that there's no way to start over like my I've had we've had green here for weeks
397.82,399.98, And weeks so my character's like totally done
399.98,404.98, Like there's nothing really I can do that and run around and try and find arms and everyone else is like this little level one
404.98,407.06, Sort of back street boy type looking care
407.06,409.74, I don't think you have to worry about it too much because what's gonna happen is pretty soon
409.74,413.12, 360's gonna like at that red ring and then it's gonna have to go back when you get it back
413.12,416.54," You get a new hard drive you can start over. Yeah, I heard about that too this week"
419.90000000000003,424.46000000000004," Real-time world at least. Oh, everyone else who knows well, but I'm just saying"
424.46000000000004,429.42, I think you don't have to worry about it. I think I'm okay. Yeah people shouldn't be surprised to see an upcoming patch where
429.66,435.14, All the bosses can get put back into the game and also like sort of a new way to create a new character on the same safe
435.3,439.18, Right another thing that you could probably not not count on but is
439.18,445.26," Pretty probable coming in the download of the pipe. Well, I think that the whole that if it's in exactly with what real-time world is all about"
445.26,448.66, I mean obviously this is like totally sandbox. They're not like focused on the on the
449.42,454.74, Incapsulated game like like a grand theft. They're very much into like here's a sandwich with fucking one to have fun
454.74,460.14," So they'll definitely do stuff like that. I think that's pretty much all I've been playing. I haven't playing. Oh, tell the us come down"
460.14,462.14, Not playing that I like it
463.34000000000003,465.34000000000003, It's crap
465.34,470.7," Wow, did you want someone to argue with you because you made my fucking for it? I just it's crap"
470.85999999999996,473.97999999999996, It's a whole internet for people that with a argue with you about that
475.97999999999996,480.97999999999996, It's no our it's no art with people every time you ask someone what's so good about this game
480.97999999999996,483.26," And they're like well, it's no art and it's like"
484.17999999999995,488.29999999999995, They give it to you like you know when you a little kid like peas is pants and all you can say is
488.29999999999995,493.88," And you like okay, that's that's supposed to say everything that's the whole end of discussion"
493.88,496.6, They go it's no I think not fucking war
496.6,498.71999999999997, I think if you were you serious about that
498.71999999999997,500.5, I think if you were to read your reviews
500.5,504.56," I mean there are the good things by the game, but yeah, it perhaps was a tad overrated by some members of"
504.56,507.0, Tad overrated like why was talking to Ryan about it?
507.0,510.2, I haven't like played enough of the game to actually defend not liking it
510.2,511.36, I just know that I don't like it
511.36,517.96, I'm not willing to like be a massacist and keep not liking it so that I can make like a particularly coaching argument as to why I don't like it
517.96,519.16, I don't know it was like well
519.16,523.64, There's this great part later with there's like dust on a picture and you actually like blow on the DS
523.64,525.64, And the dust goes off the picture revolution
525.64,528.76," That's like yes, yeah, I mean I don't need to be giving blow jobs"
528.76,532.4399999999999, I mean more than I do on the show every way so yikes
533.56,537.6," Well, I'm not playing the show anymore either so I can tell you as it grabs you"
538.08,540.92, Mitch Mitch obviously knows how to do that's close job
541.64,543.64, But working out at a long time
544.12,548.28," You can't get into gaming without knowing a little bit about getting on your knees. Hey, how's it going?"
549.24,555.48," It's a required developer. That's not you getting to fast actually. Oh, yeah, we all stand in a line"
555.48,557.24, And it's kind of like a spanking machine. Wow
558.52,560.52," On that note. Oh, I gotta go"
561.0799999999999,564.1999999999999, Mitch Mitch was telling us earlier that he you're never playing anything else. I mean
564.6,569.0799999999999," You know, I worry crucified Mitch for being a bitch and wanting to just talk about shadow run. No, that's fine"
569.0799999999999,573.88," All right, so Neil's going and get the nails out. You see in crunch time you and then you be blue to shadow run"
573.88,575.88, I'm gonna focus a little man
576.84,578.84, It's just what it is
578.84,583.48," Boy, that was a song. Did you like that one? Yeah, I see that's all read the dive had time to play"
583.48,584.52, Oh
584.52,588.12," Yeah, pretty much I mean what happens is you know, we're in crunch mode"
588.12,590.84, So I started working about six in the morning and
591.56,593.96," You know, I go home about"
594.68,601.32, Seven or so and then I get on mail and then at 930 we play shadow run from home
602.04,604.04," Right crossplay in that beta, right?"
604.36,606.04," No, no, no in our own probably"
606.04,612.1999999999999, Comes oh private not even for the likes of you motherfucker and the well known and documented fact
612.1999999999999,614.1999999999999, Maybe very much just you fit and
614.5999999999999,620.12, So we play that until about 11 11 30 and then I'm on mail until a bit
620.12,624.52, It's not so fun playing it. I mean he's or you guys I play it for work like it's sort of like a job
624.92,628.12, I don't think you'll believe me if I answer the question probably not right
628.68,632.68, So so go ahead and go ahead the risk of doing the Glenn Gary Glen Ross thing
633.56,637.56, It's not funny more obviously it is so there you go obviously he's confirmed right there
637.56,643.4799999999999, It's a longer fun. We probably should the the real answer is that it is incredibly fun to play
643.8,645.8, Having been on it for three years
645.8,647.3199999999999, It is still fun
647.3199999999999,651.16," Every night even though it's not an RPG anymore. He still likes it. Yeah, anyway"
652.68,654.68, I'm shocked
654.68,656.5999999999999, So he's done on the Nells. Where are you Shawn what even plan?
657.88,659.88, Stocker multiplayer this week
659.96,666.28, What was that like it's pretty much what you'd expect it's just team death match team death match and an artifact mode
666.52,670.6, Which is basically single flat like CTF okay? So that build work
671.32,674.6," Yeah, runs actually it runs really well the yeah single player stall"
675.16,677.56, You know versions that they've been sending us don't run so well
678.2,682.92, Which is which is odd because it has all the same effects in the maps or I mean I don't know
682.92,687.08, I say it looks great there's always like certain attachment to put on when you're talking stalker
687.1600000000001,691.96, And that's like it looks great for like this Ukrainian software that was supposed to be mind-blowing five years ago right
692.12,696.5200000000001, But with that in mind it's definitely got a fingerprint to it that you don't get elsewhere
696.5200000000001,700.2, I mean as as you run around the maps and stuff I mean you you're not it's not using you know
700.5200000000001,703.88, Make a texture or anything but you're not seeing repeat a tiling and stuff
703.88,705.88, I mean you're just seeing the stuff that's just there
705.96,709.32, Their whole world design is really different. I'm used to it doesn't have the sort of like
710.2,712.76, Floor planfully feel of counterstriker something like that you know
713.72,720.92, But other the right it's really straightforward. I mean it's just you get your guns and you and this is the MP stuff not the single player
720.92,723.72, Which right straightforward but you get your guns go around and
724.28,726.28, Shoot stuff up and the usual flavors
727.48,730.52, They sent me a revised single player build and I played it and it was like
731.56,736.56," Okay frame rate works now, but that game was really we've laughed it was supposed to be a huge really the environment flat"
736.56,740.76," Yeah, there's quite a bit of verticality and the multiplayer maps is there yeah"
741.3199999999999,744.84, And depending on where you go in the single player stuff by me. Obviously you get in the
745.08,748.52, Where house areas and stuff and you get near the sarcophagus you get near
749.24,753.3199999999999, You know just other you know urban sectors and there's a lot of verticality to it
753.3199999999999,757.48," I didn't play it long obviously, but it didn't catch me very well. I wasn't it was kind of"
758.68,762.84, All right didn't get much kick from the gun wasn't getting much visceral appeal out of it was kind of like all right
762.84,766.68, I mean I get the whole like go around and talk to different people's get different assignments that kind of that parts all cool
767.88,769.88, What's cool to me about it that I I mean
770.36,775.72, And everything is like got that condition on it that I've only played very little because performance problems is right right
775.88,782.12, But what what sticks out to me is that I'm wandering around and you have all those missions like you say
782.4399999999999,784.84, There is a good deal for you them in terms of where you can go
784.84,789.4, It's not it's not a Bolivian big where you have complete 360 degrees from your starting point
789.4,794.04, I mean you will run into barriers in any given direction after a while
794.28,796.28, But you have it's not it's not the
796.6,798.12, You know the call the
798.2,799.4, Company of
799.4,801.4, Getting a confused company of duty
802.68,806.76," That could not call up here. It's too pioneered, but now with like 2d3 I got too much"
807.32,809.16, I mean it's just the usual you know
809.5600000000001,810.76, heavily scripted
810.76,816.2, You're basically following the thread through the level and you're waiting for the guys to come out. I mean and you can you get some of the
817.64,819.48, Sort of emergent stuff where you see dogs
820.36,825.4, Eat and around in a body right you shoot one of them take the guys wall it and you know get the ammo off him
825.56,831.24, Then a bigger animal comes and starts chasing some dogs and they all chase you into a town and then they start fighting the towns and have it
831.24,833.9599999999999, Hence and you run out the back of the town. I mean that kind of stuff is cool
833.9599999999999,836.1999999999999, Where for the first eventually months later
836.1999999999999,840.4399999999999, I'll look at it and I'll say okay now I understand the extent of how this game's functioning
840.68,844.12, But for the first like you know and that's how Bolivian was for me for the first you know
844.1999999999999,848.68, Week or so or month with that game right before you completely understand the dimensions of the game
849.0799999999999,853.24, It has the capacity to surprise you which is something that the standard
853.32,857.08, Cord or FES single player has no ability to do for the most part with me
857.88,863.32," Wow, it's pretty good endorsement. It's like the dust pretty good early and pretty good early like wow it's pretty cool"
864.12,868.92, We'll see but like I said I'm not hanging my reputation on it because that's I mean all all those impressions are about
868.92,870.92, 12 frames per second
870.92,872.92," Well, it's a game come out"
873.64,877.24," I haven't seen it. It should be yeah, it's fun for next month, so wow"
877.24,880.92, I can play right now the reason they're having problems and has a huge memory leak so obviously
881.0799999999999,885.0799999999999, That's what that's the problem. It's got a huge memory leak until they get on top of that and there's sunk
885.0799999999999,891.0, I do the other thing I like about is that it's like I said again. It's just it feels as if it were from somewhere else
891.0,893.0, It doesn't feel as though it were from
894.12,899.16, The school of thought that that's characterized FES making in North America for so long for so many years
899.16,904.1999999999999, It's got a different ride to it. Let's go anything else on your desk that was cool last week or so
905.0799999999999,907.3199999999999, stuff the usual stuff you can't talk about you know
907.48,913.0, Our bar goes this net and the coolest thing of all which is you know not to pentamaxing but it's an exclusive for a cover
913.0,919.0, So I put really like what what issue the April is that it may may yeah
919.0,924.36," So when some people we all detect that out in early April. Yeah, it sucks though. I wish I could at least say what it was"
924.36,927.4000000000001, We say something that if you're PC way would John or is it oh?
927.96,932.7600000000001," I don't do this to come back and give me trouble, but it's yeah, I don't know. It's not FES though"
933.1600000000001,934.7600000000001," Okay, that's fine. That's enough by the"
934.76,937.96," Yeah, I haven't seen Jeff Green angry. I don't really want to ever"
938.2,944.92, I don't Jeff doesn't even get angry. I think it would be more like you know the company and and John and John Davis in that isn't stuff
945.24,950.2, Do you have John as when he gets mad as like horrible? It's all over everything. It's like when you piss off Chewbaca
953.8,957.8, Shane Stern or years gone. I don't know I mean I can play but so what a today
958.12,961.8, EA brought by burnout on PSP same game as PS2 was that's pretty cool
962.12,966.5999999999999, Did you play anyone play any burnout on at all? Anyone play burnout on my like the only right out
966.5999999999999,969.24, I'm the original burnout lover as we talked about how was he?
970.4399999999999,975.0," Yeah, but I don't like cars. I don't like pretending to drive. I don't like actually driving"
975.0,979.4, I don't I like burnout and dominated I'm curious about it because John was saying it's close to burnout too
979.56,985.8, It's really close to burnout too. It's just like burnout too. What I liked about what they do in the PSP version is that to make up for how small the screen
985.8,988.68, And how fast the action is it's really forgiving on collisions
988.68,994.28, And so so if you're like doing like you know like rubbing or if you're doing like trying to do close calls on traffic to fill up your bruce meter
994.28,998.28," They're really forgiving like you can see oh, I should have probably hit that guy on the front corner"
998.28,1002.52," But it let me slide by you know, so it actually makes it playable because you don't have traffic checking"
1002.76,1008.1999999999999," Right, you know there's no traffic checking so that part that actually I was worried about how not having traffic checking in PSP"
1008.5999999999999,1012.8399999999999, Because I don't want to like just sit there and be frustrated and I want to toss the PSP out the window
1012.8399999999999,1014.5999999999999, That's not fun. That's not fun at all
1014.6,1019.96, But it wasn't like that it was like okay if I like really fucked up and was like coming around a corner and there was a car right there
1019.96,1021.64, And I hit him full on goose wreck
1021.8000000000001,1025.24, But if it was like I was coming around the corner and I compensated and managed to slide by them
1025.24,1029.8, Then it was able to slip by him. He played really well. I was thinking you would play that version over the PS2 version
1031.48,1036.1200000000001," Well, I would because for that for that degree of visual fidelity why not play it on the PSP?"
1036.1200000000001,1039.0, It's like if I'm playing at home and I want to play I want to play hi-dep
1039.0,1041.72, I don't want to play get-o 480 eye crap
1041.88,1045.56, Tell that to the 464 thousand new we owners gone it all right
1045.56,1049.32, Foreigned 64 thousand new we owners. I don't want to play 480 get-o crap
1050.1200000000001,1053.48," Anyway, I mean really if you're playing burnout which is like about the graphic"
1053.88,1057.16," We're not halfway about graphics anyway, right? I mean that was like always it's big deal"
1057.16,1061.56, It's how fucking gorgeous it looks for all the special effects. It looks really good on PSP the frame rate was really solid
1061.96,1065.8, Perfect little game to sit down and like screw around with for a little while and then like turn off and be done with it
1066.2,1069.16," Yeah, I'm down. Do you think the last burnout took it a little too far though?"
1069.72,1071.5600000000002, In terms of like finding that perfect balance between
1072.28,1079.16," Risk and reward having it, you know, you do so you do pull off of maneuvering you're gonna crash and the the most recent one for the 360 for me"
1079.48,1081.48, It was just far too forgiving
1081.48,1085.48, I mean that's like I can say it's a button and then the game and then just just let it race
1085.48,1090.2," You know let it knock stuff out of the way. Yeah, that's that's so that's totally the argument is whether you like that"
1090.2,1096.0400000000002, And want to just like run around and not have to worry about it or if you like the actual having some stress and actually having to drive a little harder
1096.92,1100.6399999999999, John and I kind of make a mode just a flip of a switch traffic will
1101.1599999999999,1105.24," Rear and someone and you might crash, but you know Alex listens to this so you run everyone over mode"
1105.8,1108.36, You just told Alex to do that so I may be able to look into it
1108.92,1113.8799999999999, There you go Alex for like the big MMO one think about putting a switch in there flip it flip it for mode to mode
1113.8799999999999,1117.28," Because I think that makes a lot of sense. Yeah, if it were only a switch that would be off"
1117.28,1120.8, But of course you actually have to make shut up fucking real-ness
1120.8,1122.8," No, it's not a reason. Oh, okay"
1122.8799999999999,1125.52, We don't we don't use fucking real logic we
1126.8,1129.6, Swing it's up to me to actually do shit
1130.32,1135.82," By the way, if you guys could just give up your nights weekends and how it is because some motherfucker at a whim on it's kind of show"
1137.08,1141.68," Yeah, yeah, we said flip a switch. I don't care what the wiring is behind the switch flip it"
1141.68,1144.52, It's a switch what like 10 minutes to put into the game
1145.52,1147.52, It's fucking doing for the other nine
1150.8,1152.8, There was such complaints aren't they?
1152.8,1154.8, I'm not talking about being a developer
1154.8,1161.8999999999999, It's hard mode to the extent where there probably is a switch where you just turn it on and you turn all geometry impermeable except for the track
1162.8,1166.56, Could be so they don't even know that they're driving through all the cars
1167.12,1170.8," So it's also got ad hoc multiplayer, but not ad hoc multiplayer. What a throwaway, right?"
1170.8,1174.24," No, it gives a shit no one cares about this score. You better be pouring me some of that while you have that"
1175.2,1177.6, And score internet score checking
1177.84,1179.12, Hmm
1179.12,1182.84, It's like that's like he guys are almost in harmony there. That's like a minor third
1182.84,1186.36, I think next thing you know it'll be like burnout now with exclusive friend codes
1186.8799999999999,1189.9199999999998, I'm more curious about the next gen versions. They really haven't shown it to you
1189.9199999999998,1193.6799999999998, I haven't real everything you've seen is very smoking mirrors on like models and artists
1193.6799999999998,1195.6799999999998, I'm very curious to see the real thing
1195.6799999999998,1198.3999999999999, So it's kind of like what you see about crimson skies two
1199.4399999999998,1201.6799999999998," Anyway, you're looking at my play that you for the rest"
1201.6799999999998,1205.1999999999998, I say I just say it's three right side the don't spoil the boards part
1207.6,1210.24, Guitar hero two for three sixty because we have another build of it in
1210.9599999999998,1214.48," So good, but it's so bad. Yeah, as you can say you kind of said and the internet"
1214.8,1218.6399999999999, So it's so frustrating because the music list still not doesn't do it right for me
1218.6399999999999,1220.8799999999999, And that's the thing is so if you like guitar hero
1221.12,1225.6, It's up to the music list. That's why I think 360 will be the best version is because DLC will save it
1225.6,1228.24, DLC will make it to wear whatever you game whatever game you want
1228.32,1232.08," You can build your game. Yeah, so I was thinking about that today on the train on the way and it work"
1232.08,1236.24, And I was thinking I'm in it's fun. I don't play guitar here. I've never played guitar here at all
1236.32,1240.88, But the 80's version that you guys talked about in a jam like remove the quote from the guitar here
1240.88,1243.36, Guys that said we're gonna have more downloadable content ever would it be real?
1243.36,1246.32, Is stick to think that maybe some of that downloadable content on the 360 version?
1246.32,1250.72," I'll just be the 80's stuff. Oh, yeah, I think I would think like the 87'd be like an expansion pack"
1250.72,1254.64, I would wonder if Sony got some time exclusivity on it because that's what they did with guitar here
1254.64,1258.4," too, but you never know they were there still not talking about that even though we heard about that months ago"
1258.8,1263.2, But so I tell you what's most impressive about playing this even though like the first the first levels even though they've
1263.2,1268.48, Like rejiggered all of the the song list line-ups. I still don't like the first two levels. It's still kind of slow-implotting
1268.48,1271.52, But the it works so well
1271.52,1277.1200000000001, It's like they've had so long to refine it and so long to affect making the guitar that the guitar has the best feel
1277.1200000000001,1283.04, It's it's a flying that's not flying me. It's a explore it's explore it's wide explore and the feel on the buttons is
1283.2,1288.32, Unbelievable and the hammer on and pull off are so natural now it that you really can play the game without thinking about it
1288.32,1290.32, You can just play it and not think about it and then just
1291.28,1297.9199999999998, Rock it's perfect. It's it's it's so perfected the combination of the way harmonics has laid down the note
1298.08,1303.2, Combinations this time and and how well the guitar is working that it's just it's totally fluid
1303.6,1306.0, It's totally fluid. It's awesome when we were at CES
1306.0,1312.8799999999999, We were demonstrating shadow run and they had guitar here all right next to us so all they long all I heard was she's
1314.32,1316.32, Oh my god so bad
1316.32,1318.32, That that's
1318.32,1321.28, Love it the dude world. Oh well let me explain
1321.6799999999998,1327.76, You know it's a broad audience for that game. I'm gonna try to say this right it was a broad audience for that game
1327.76,1329.76, So it attracted a different
1330.56,1337.6, I did oh like it attracted a wider scope of game a rather than a typical shooter loving Xbox 360 fans
1337.6799999999998,1341.04, But you guys are gonna get more of the cosplays jitter and fans
1343.04,1345.04, It's not an RPG fuck this game I hate it
1346.0,1348.3999999999999," Yeah, I've never met anybody like that, but"
1349.28,1352.96," Right yeah, of course not they don't line up outside your door anything"
1353.44,1357.44, There I think there is actually like a firemitch gillman
1358.72,1362.96," Petition they probably they probably pronounce it right also yeah, exactly"
1364.24,1368.08," You're not talking about the list Mac, but yeah and Shane Kim gets emails occasionally"
1368.6399999999999,1370.32, What's my really doing holding the guy?
1370.32,1372.32, There's a fireman's gillman
1372.6399999999999,1374.6399999999999, Guys at dick
1374.6399999999999,1376.6399999999999, It's from here I'm glad
1377.2,1379.84, There is a special Microsoft game studios
1381.2,1384.72, Little survey you know it's like what's it like to work here how are things going
1385.4399999999998,1390.72," Yeah, I look forward to that over here with mgs for on 360 make you buy the console"
1392.08,1393.6, Hear about that survey this week
1393.84,1398.96, There's a survey that's been circulated. I don't know if you started that popular North American research and marketing firm
1399.1200000000001,1401.1200000000001, Where one of the questions is
1401.1200000000001,1409.28, Would metal gear sell it for an Xbox 360 increase your interest in the platform on a scale from one to a hundred with a hundred being the most you could possibly increase your interest
1409.44,1412.48, Where do you rate metal yourself on for on the Xbox 360?
1412.48,1415.1200000000001, I'm just saying research marketing believe
1416.16,1417.76," Yeah, good to see you wait wait"
1417.76,1419.76, Welcome Ryan Peyton
1419.76,1421.76, Did the list are audience
1422.48,1424.48, 232 downloads in Japan today
1425.44,1430.8," Anyway, Shane how about you what you've been playing now? You're not on deadline. You're just like chilling you just sit around here like a cute playing game"
1430.8,1434.84, I was playing I was playing game at my desk which never happens. I never play games
1434.84,1436.16, I watched unless they're fighting me
1436.16,1438.56, I'll play a lot of fighting games in my desk. That's that's the usual
1438.56,1442.48," But yeah, I spent the last week playing through in a coming-week title"
1444.08,1446.72, How was it? Is it is very entertaining?
1446.72,1452.56, What how would you just how did you describe this game tell me a little bit about a mix of like a traditional platformer with some RPG elements built
1452.8799999999999,1458.6399999999999, Like what were some of the four some of the mechanics how did it use the remote and an interesting and unique way?
1458.6399999999999,1460.8," Well, I wasn't like a what's it like a what's it made me not design?"
1460.8,1465.76," Well, I'm not sure if I really started out as a weak game, but I think like you know, it's only we now and they incorporated some some"
1466.6399999999999,1470.32, We elements to it. It's really not that overbearing though. You're probably only way way way. She probably staff you
1470.6399999999999,1475.32," He's in the cyst yeah, you're right. I see got beside that. I'm playing the the chocobo game for DS"
1475.44,1477.6799999999998, Which is can you can you talk about?
1477.6799999999998,1478.3999999999999, I can talk about it
1478.4,1483.2800000000002, When people are so here's how it works with square screen. It's he talks about it and then they call and get mad at me
1483.2800000000002,1487.6200000000001," No, I think that we have to about this one because I actually I like it. I mean, you know, it's cutesy because it's it's all these like"
1487.6200000000001,1491.6000000000001, You'd see Joe really doesn't matter so much of you like it. I know it's just the they just have to call and get mad
1491.6000000000001,1495.2," Well, when there's actually in their calling this game like final fantasy blah blah blah chocobo"
1495.2,1497.0400000000002, So I think that's gonna help to say it was because I was final fantasy
1497.0400000000002,1502.5600000000002, But it's actually a half out of the little yellow birds are gonna help the game. Yeah. It's one of the best multi-player
1502.56,1508.04, Many many game collections I've seen like they're not the same games you've been playing on every other stupid DS game
1508.04,1512.9199999999998," Some of them were pretty creative and has remixes of all the final fantasy music and yeah, it's a it's a nice little package"
1512.9199999999998,1515.72, I think I think I think we'll be surprised by it. It comes out in April
1516.0,1520.0, Beyond that has been playing flow came out the other day. Oh shit
1520.0,1521.52, I've played a lot of flow too
1521.52,1526.72, I like boy flow isn't exactly a game per se and if you come into it like I don't want like the best game ever
1526.72,1528.56, You're right. It's like a stone or entertainment
1528.56,1529.76, It's kind of like a nice
1529.76,1531.76, Interactive
1531.76,1540.12," That's yeah, it's kind of a screensaver kind of thing that's interactive but pretty tested the enjoyment of the game on our two-alt under two different states"
1540.44,1541.84," Yeah, I would"
1541.84,1546.44, When that game is totally three-bong hits and three hours later. I would not even three hours
1546.44,1547.44, I would trick home
1547.44,1550.04," Well, I would write my dad play every 28 days"
1550.04,1556.64," Not feel like so far. Yeah, don't be sober while you play that. Yeah, don't actually don't even talk about it if you're so"
1556.64,1562.16, We're yeah people want to understand where you talk about when you you're making it sound shitty like a fish show or a grateful
1562.16,1567.0," Bitch, although no, it's gonna be there, man. He's like a bit like a fish show"
1567.0,1569.5200000000002, It's like that's green-saver oven and aquarium
1569.5200000000002,1573.24," Yeah, I'm expecting small psychedelia and instead I turn on something"
1573.24,1575.96," No, but like you know, there's definitely not a grateful dead"
1575.96,1577.76, People are not driving across country
1577.76,1578.76, Playful
1578.76,1580.3600000000001, No one's on top of us when I was playing
1580.76,1584.5200000000002," Yeah, we'll say it has it has you control works well with this x-axis all about this x-axis"
1584.52,1590.1, It uses it well and it's fun to multiplayer because you're both like stone or drunk and looking at pretty colors
1590.1,1594.36, What about PCPs hold up how's it? How's it holding you kind of raging when you're on the angel dust
